"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1488","Normal/Others","WS/MP847/2023-2024/36311-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1489","Normal/Others","WS/MP847/2023-2024/36312-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","08-Jan-2024"
"1490","Normal/Others","WS/MP847/2023-2024/36313-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1491","Normal/Others","WS/MP847/2023-2024/36314-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1492","Normal/Others","WS/MP847/2023-2024/36315-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1493","Normal/Others","WS/MP847/2023-2024/36316-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1494","Normal/Others","WS/MP847/2023-2024/36327-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","08-Jan-2024"
"1495","Normal/Others","WS/MP847/2023-2024/36328-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","04-Jan-2024"
"1496","Normal/Others","WS/MP847/2023-2024/36329-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","04-Jan-2024"
"1497","Normal/Others","WS/MP847/2023-2024/36330-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239120.7","12-Feb-2024"
"1498","Normal/Others","WS/MP847/2023-2024/36331-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","12-Feb-2024"
"1499","Normal/Others","WS/MP847/2023-2024/36332-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1500","Normal/Others","WS/MP847/2023-2024/36333-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1501","Normal/Others","WS/MP847/2023-2024/36334-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239120.7","08-Jan-2024"
"1502","Normal/Others","WS/MP847/2023-2024/36335-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239120.7","04-Jan-2024"
"1503","Normal/Others","WS/MP847/2023-2024/36336-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","12-Feb-2024"
"1504","Normal/Others","WS/MP847/2023-2024/36352-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1505","Normal/Others","WS/MP847/2023-2024/36353-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","08-Jan-2024"
"1506","Normal/Others","WS/MP847/2023-2024/36354-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","04-Jan-2024"
"1507","Normal/Others","WS/MP847/2023-2024/36355-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","235366.34","04-Jan-2024"
"1508","Normal/Others","WS/MP847/2023-2024/36356-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","04-Jan-2024"
"1509","Normal/Others","WS/MP847/2023-2024/36357-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239120.7","04-Jan-2024"
"1510","Normal/Others","WS/MP847/2023-2024/36358-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1511","Normal/Others","WS/MP847/2023-2024/36359-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1512","Normal/Others","WS/MP847/2023-2024/36360-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1513","Normal/Others","WS/MP847/2023-2024/36361-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","08-Jan-2024"
"1514","Normal/Others","WS/MP847/2023-2024/36363-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","08-Jan-2024"
"1515","Normal/Others","WS/MP847/2023-2024/36364-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","12-Feb-2024"
"1516","Normal/Others","WS/MP847/2023-2024/36365-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","19-Jan-2024"
"1517","Normal/Others","WS/MP847/2023-2024/36366-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","08-Jan-2024"
"1518","Normal/Others","WS/MP847/2023-2024/36367-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","08-Jan-2024"
"1519","Normal/Others","WS/MP847/2023-2024/36368-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","08-Jan-2024"
"1520","Normal/Others","WS/MP847/2023-2024/36369-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","12-Feb-2024"
"1521","Normal/Others","WS/MP847/2023-2024/36370-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1522","Normal/Others","WS/MP847/2023-2024/36371-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","08-Jan-2024"
"1523","Normal/Others","WS/MP847/2023-2024/36372-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239120.7","08-Jan-2024"
"1524","Normal/Others","WS/MP847/2023-2024/36383-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239120.7","18-Jan-2024"
"1525","Normal/Others","WS/MP847/2023-2024/36384-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","08-Jan-2024"
"1526","Normal/Others","WS/MP847/2023-2024/36385-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1527","Normal/Others","WS/MP847/2023-2024/36386-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1528","Normal/Others","WS/MP847/2023-2024/36387-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1529","Normal/Others","WS/MP847/2023-2024/36388-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1530","Normal/Others","WS/MP847/2023-2024/36389-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1531","Normal/Others","WS/MP847/2023-2024/36390-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1532","Normal/Others","WS/MP847/2023-2024/36391-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239120.7","18-Jan-2024"
"1533","Normal/Others","WS/MP847/2023-2024/36392-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1534","Normal/Others","WS/MP847/2023-2024/36401-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1535","Normal/Others","WS/MP847/2023-2024/36402-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239120.7","18-Jan-2024"
"1536","Normal/Others","WS/MP847/2023-2024/36403-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239120.7","18-Jan-2024"
"1537","Normal/Others","WS/MP847/2023-2024/36404-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239120.7","18-Jan-2024"
"1538","Normal/Others","WS/MP847/2023-2024/36405-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239120.7","18-Jan-2024"
"1539","Normal/Others","WS/MP847/2023-2024/36406-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1540","Normal/Others","WS/MP847/2023-2024/36407-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","12-Feb-2024"
"1541","Normal/Others","WS/MP847/2023-2024/36408-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1542","Normal/Others","WS/MP847/2023-2024/36409-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1543","Normal/Others","WS/MP847/2023-2024/36410-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1544","Normal/Others","WS/MP847/2023-2024/36419-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239120.7","18-Jan-2024"
"1545","Normal/Others","WS/MP847/2023-2024/36420-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","19-Jan-2024"
"1546","Normal/Others","WS/MP847/2023-2024/36421-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239120.7","18-Jan-2024"
"1547","Normal/Others","WS/MP847/2023-2024/36422-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","19-Jan-2024"
"1548","Normal/Others","WS/MP847/2023-2024/36423-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","19-Jan-2024"
"1549","Normal/Others","WS/MP847/2023-2024/36424-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1550","Normal/Others","WS/MP847/2023-2024/36425-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","19-Jan-2024"
"1551","Normal/Others","WS/MP847/2023-2024/36426-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","18-Jan-2024"
"1552","Normal/Others","WS/MP847/2023-2024/36427-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","19-Jan-2024"
"1553","Normal/Others","WS/MP847/2023-2024/36428-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","19-Jan-2024"
"1554","Normal/Others","WS/MP847/2023-2024/36438-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","19-Jan-2024"
"1555","Normal/Others","WS/MP847/2023-2024/36439-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","19-Jan-2024"
"1556","Normal/Others","WS/MP847/2023-2024/36440-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","19-Jan-2024"
"1557","Normal/Others","WS/MP847/2023-2024/36441-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","19-Jan-2024"
"1558","Normal/Others","WS/MP847/2023-2024/36442-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","19-Jan-2024"
"1559","Normal/Others","WS/MP847/2023-2024/36443-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","19-Jan-2024"
"1560","Normal/Others","WS/MP196/2023-2024/36619-Construction of rooms and halls in school and colleges","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","Construction of room/halls in Ram Baran Singh, Inter Collage, Choraha, Machchali Shahar, Jaunpur.","13-Oct-2023","2000000","24-Jan-2024"
"1561","Trust and Society","WS/MP847/2023-2024/36620-Construction of rooms and halls in school and colleges","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","bhawan nirman hetu karyadayi sanstha- manager/principal Late. RamaShankar Dikshit Balika Inter College Samiti Jila Unnao","13-Oct-2023","1500000","10-Jan-2024"
"1562","Normal/Others","WS/MP847/2023-2024/36709-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT  6- LED","13-Oct-2023","242882.34","19-Jan-2024"
"1563","Normal/Others","WS/MP847/2023-2024/36710-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT  6- LED","13-Oct-2023","243000","19-Jan-2024"
