"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"6006","Normal/Others","NA-Construction of community centers and community halls","Odisha","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Shri Manas Ranjan Mangaraj (2022-28) (2022-2028)","Elected MP","Construction of Community Center in Alisibindha Village, Block: Balipatana, Dist: Khordha","04-Oct-2024","1000000","NA"
"6007","Normal/Others","WS/MP078/2025-2026/145564-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Construction of Ambulance Road from main road to the house of Sh Baldev Harijan Basti Chaghodi Gram Panchyat Bisha Development Block Kandaghat District Solan Executing agency Panchyat Samiti Kandaghat","04-Oct-2024","100000","03-Nov-2025"
"6008","Normal/Others","WS/MP078/2025-2026/145565-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Construction of Pucca Path from main road Chail Kandaghat road to link road Village Kotla Gram Panchyat Sainj Development Block Kandaghat District Solan Executing Panchyat Samiti Kandaghat","04-Oct-2024","100000","12-Dec-2025"
"6009","Normal/Others","WS/MP187/2024-2025/145576-Lighting of public spaces","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","S/I OF LED SEMI HIGH MAST LIGHT AT 53 DIFFERENT PLACES","04-Oct-2024","14999000","28-Oct-2024"
"6010","Normal/Others","WS/MP096/2024-2025/145592-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Illathparamb road/pathway, Othukku ngal Panchayat","05-Oct-2024","445816","12-Dec-2024"
"6011","Normal/Others","WS/MP096/2024-2025/145593-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Kalathingalpadi Anganvadi road /pathway, Ward No. 05, Anakayam Panachayat","05-Oct-2024","275899","12-Dec-2024"
"6012","Normal/Others","WS/MP096/2024-2025/145594-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Thamiyedathil – Kalladiyil road/pathway, Ward No. 23, Anakayam Panchayat","05-Oct-2024","398750","12-Dec-2024"
"6013","Normal/Others","WS/MP096/2024-2025/145595-Purchase of furniture and fixtures for educational purposes","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Installation of sound system at Govt. UP School, Myladi, Ward No. 08, Chaliyar Panchayat","05-Oct-2024","112580","12-Dec-2024"
"6014","Normal/Others","WS/MP096/2024-2025/145596-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Puthuparamb sub center road/pathway, Ward No. 03, Edarikode Panchayat","05-Oct-2024","381886","28-Jan-2025"
"6015","Normal/Others","WS/MP096/2024-2025/145597-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of PTMH road/pathway, Ward No. 16, Cheriyamundam Panchayat","05-Oct-2024","281103","28-Nov-2024"
